cost,maintenance,doors,persons,trunk,safety,classification
vhigh,vhigh,2,2,small,low,poor
vhigh,vhigh,2,2,medium,low,poor
vhigh,vhigh,2,2,big,low,poor
vhigh,vhigh,2,2,big,high,poor
vhigh,vhigh,2,4,small,low,poor
vhigh,vhigh,2,4,small,medium,poor
vhigh,vhigh,2,4,small,high,poor
vhigh,vhigh,2,4,medium,low,poor
vhigh,vhigh,2,4,medium,medium,poor
vhigh,vhigh,2,4,medium,high,poor
vhigh,vhigh,2,4,big,low,poor
vhigh,vhigh,2,6,small,high,poor
vhigh,vhigh,2,6,medium,low,poor
vhigh,vhigh,2,6,medium,high,poor
vhigh,vhigh,2,6,big,low,poor
vhigh,vhigh,2,6,big,high,poor
vhigh,vhigh,3,2,small,medium,poor
vhigh,vhigh,3,2,small,high,poor
vhigh,vhigh,3,2,medium,low,poor
vhigh,vhigh,3,2,big,low,poor
vhigh,vhigh,3,2,big,high,poor
vhigh,vhigh,3,4,small,low,poor
vhigh,vhigh,3,4,small,medium,poor
vhigh,vhigh,3,4,medium,low,poor
vhigh,vhigh,3,4,medium,medium,poor
vhigh,vhigh,3,4,medium,high,poor
vhigh,vhigh,3,4,big,low,poor
vhigh,vhigh,3,4,big,medium,poor
vhigh,vhigh,3,4,big,high,poorvhigh,medium,5,4,medium,high,acceptable
vhigh,medium,5,4,big,low,poor
vhigh,medium,5,4,big,medium,acceptable
vhigh,medium,5,4,big,high,acceptable
vhigh,medium,5,6,small,low,poor
vhigh,medium,5,6,small,medium,poor
vhigh,medium,5,6,small,high,acceptable
vhigh,medium,5,6,medium,low,poor
vhigh,medium,5,6,medium,medium,acceptable
vhigh,medium,5,6,medium,high,acceptable
vhigh,medium,5,6,big,low,poor
vhigh,medium,5,6,big,medium,acceptable
vhigh,medium,5,6,big,high,acceptable
vhigh,low,2,2,small,medium,poor
vhigh,low,2,2,small,high,poor
vhigh,low,2,2,medium,low,poor
vhigh,low,2,2,medium,medium,poor
vhigh,low,3,4,big,high,acceptable
vhigh,low,3,6,small,medium,poor
vhigh,low,3,6,small,high,acceptable
vhigh,low,3,6,medium,low,poor
vhigh,low,3,6,medium,medium,acceptable
vhigh,low,3,6,medium,high,acceptable
vhigh,low,3,6,big,low,poor
vhigh,low,3,6,big,medium,acceptable
vhigh,low,3,6,big,high,acceptable
vhigh,low,4,2,small,low,poor
vhigh,low,4,2,small,medium,poor
vhigh,low,4,2,small,high,poor
vhigh,low,4,2,medium,low,poor
vhigh,low,4,2,medium,medium,poor
vhigh,low,4,2,medium,high,poor
low,medium,4,2,small,low,poor
